key;day_full;day;month_full;month_nr;month_short;month_name;Semester_full;Semester;year
1;01/01/2010;1;jan/10;1;JAN;January;2010-S1;1;2010
2;02/01/2010;2;jan/10;1;JAN;January;2010-S1;1;2010
3;03/01/2010;3;jan/10;1;JAN;January;2010-S1;1;2010
4;04/01/2010;4;jan/10;1;JAN;January;2010-S1;1;2010
5;05/01/2010;5;jan/10;1;JAN;January;2010-S1;1;2010
6;06/01/2010;6;jan/10;1;JAN;January;2010-S1;1;2010
7;07/01/2010;7;jan/10;1;JAN;January;2010-S1;1;2010
8;08/01/2010;8;jan/10;1;JAN;January;2010-S1;1;2010
9;09/01/2010;9;jan/10;1;JAN;January;2010-S1;1;2010
10;10/01/2010;10;jan/10;1;JAN;January;2010-S1;1;2010
11;11/01/2010;11;jan/10;1;JAN;January;2010-S1;1;2010
12;12/01/2010;12;jan/10;1;JAN;January;2010-S1;1;2010
13;13/01/2010;13;jan/10;1;JAN;January;2010-S1;1;2010
14;14/01/2010;14;jan/10;1;JAN;January;2010-S1;1;2010
15;15/01/2010;15;jan/10;1;JAN;January;2010-S1;1;2010
16;16/01/2010;16;jan/10;1;JAN;January;2010-S1;1;2010
17;17/01/2010;17;jan/10;1;JAN;January;2010-S1;1;2010
18;18/01/2010;18;jan/10;1;JAN;January;2010-S1;1;2010
19;19/01/2010;19;jan/10;1;JAN;January;2010-S1;1;2010
20;20/01/2010;20;jan/10;1;JAN;January;2010-S1;1;2010
21;21/01/2010;21;jan/10;1;JAN;January;2010-S1;1;2010
22;22/01/2010;22;jan/10;1;JAN;January;2010-S1;1;2010
23;23/01/2010;23;jan/10;1;JAN;January;2010-S1;1;2010
24;24/01/2010;24;jan/10;1;JAN;January;2010-S1;1;2010
25;25/01/2010;25;jan/10;1;JAN;January;2010-S1;1;2010
26;26/01/2010;26;jan/10;1;JAN;January;2010-S1;1;2010
27;27/01/2010;27;jan/10;1;JAN;January;2010-S1;1;2010
28;28/01/2010;28;jan/10;1;JAN;January;2010-S1;1;2010
29;29/01/2010;29;jan/10;1;JAN;January;2010-S1;1;2010
30;30/01/2010;30;jan/10;1;JAN;January;2010-S1;1;2010
31;31/01/2010;31;jan/10;1;JAN;January;2010-S1;1;2010
32;01/02/2010;1;fev/10;2;FEB;February;2010-S1;1;2010
33;02/02/2010;2;fev/10;2;FEB;February;2010-S1;1;2010
34;03/02/2010;3;fev/10;2;FEB;February;2010-S1;1;2010
35;04/02/2010;4;fev/10;2;FEB;February;2010-S1;1;2010
36;05/02/2010;5;fev/10;2;FEB;February;2010-S1;1;2010
37;06/02/2010;6;fev/10;2;FEB;February;2010-S1;1;2010
38;07/02/2010;7;fev/10;2;FEB;February;2010-S1;1;2010
39;08/02/2010;8;fev/10;2;FEB;February;2010-S1;1;2010
40;09/02/2010;9;fev/10;2;FEB;February;2010-S1;1;2010
41;10/02/2010;10;fev/10;2;FEB;February;2010-S1;1;2010
42;11/02/2010;11;fev/10;2;FEB;February;2010-S1;1;2010
43;12/02/2010;12;fev/10;2;FEB;February;2010-S1;1;2010
44;13/02/2010;13;fev/10;2;FEB;February;2010-S1;1;2010
45;14/02/2010;14;fev/10;2;FEB;February;2010-S1;1;2010
46;15/02/2010;15;fev/10;2;FEB;February;2010-S1;1;2010
47;16/02/2010;16;fev/10;2;FEB;February;2010-S1;1;2010
48;17/02/2010;17;fev/10;2;FEB;February;2010-S1;1;2010
49;18/02/2010;18;fev/10;2;FEB;February;2010-S1;1;2010
50;19/02/2010;19;fev/10;2;FEB;February;2010-S1;1;2010
51;20/02/2010;20;fev/10;2;FEB;February;2010-S1;1;2010
52;21/02/2010;21;fev/10;2;FEB;February;2010-S1;1;2010
53;22/02/2010;22;fev/10;2;FEB;February;2010-S1;1;2010
54;23/02/2010;23;fev/10;2;FEB;February;2010-S1;1;2010
55;24/02/2010;24;fev/10;2;FEB;February;2010-S1;1;2010
56;25/02/2010;25;fev/10;2;FEB;February;2010-S1;1;2010
57;26/02/2010;26;fev/10;2;FEB;February;2010-S1;1;2010
58;27/02/2010;27;fev/10;2;FEB;February;2010-S1;1;2010
59;28/02/2010;28;fev/10;2;FEB;February;2010-S1;1;2010
60;01/03/2010;1;mar/10;3;MAR;March;2010-S1;1;2010
61;02/03/2010;2;mar/10;3;MAR;March;2010-S1;1;2010
62;03/03/2010;3;mar/10;3;MAR;March;2010-S1;1;2010
63;04/03/2010;4;mar/10;3;MAR;March;2010-S1;1;2010
64;05/03/2010;5;mar/10;3;MAR;March;2010-S1;1;2010
65;06/03/2010;6;mar/10;3;MAR;March;2010-S1;1;2010
66;07/03/2010;7;mar/10;3;MAR;March;2010-S1;1;2010
67;08/03/2010;8;mar/10;3;MAR;March;2010-S1;1;2010
68;09/03/2010;9;mar/10;3;MAR;March;2010-S1;1;2010
69;10/03/2010;10;mar/10;3;MAR;March;2010-S1;1;2010
70;11/03/2010;11;mar/10;3;MAR;March;2010-S1;1;2010
71;12/03/2010;12;mar/10;3;MAR;March;2010-S1;1;2010
72;13/03/2010;13;mar/10;3;MAR;March;2010-S1;1;2010
73;14/03/2010;14;mar/10;3;MAR;March;2010-S1;1;2010
74;15/03/2010;15;mar/10;3;MAR;March;2010-S1;1;2010
75;16/03/2010;16;mar/10;3;MAR;March;2010-S1;1;2010
76;17/03/2010;17;mar/10;3;MAR;March;2010-S1;1;2010
77;18/03/2010;18;mar/10;3;MAR;March;2010-S1;1;2010
78;19/03/2010;19;mar/10;3;MAR;March;2010-S1;1;2010
79;20/03/2010;20;mar/10;3;MAR;March;2010-S1;1;2010
80;21/03/2010;21;mar/10;3;MAR;March;2010-S1;1;2010
81;22/03/2010;22;mar/10;3;MAR;March;2010-S1;1;2010
82;23/03/2010;23;mar/10;3;MAR;March;2010-S1;1;2010
83;24/03/2010;24;mar/10;3;MAR;March;2010-S1;1;2010
84;25/03/2010;25;mar/10;3;MAR;March;2010-S1;1;2010
85;26/03/2010;26;mar/10;3;MAR;March;2010-S1;1;2010
86;27/03/2010;27;mar/10;3;MAR;March;2010-S1;1;2010
87;28/03/2010;28;mar/10;3;MAR;March;2010-S1;1;2010
88;29/03/2010;29;mar/10;3;MAR;March;2010-S1;1;2010
89;30/03/2010;30;mar/10;3;MAR;March;2010-S1;1;2010
90;31/03/2010;31;mar/10;3;MAR;March;2010-S1;1;2010
91;01/04/2010;1;abr/10;4;APR;April;2010-S1;1;2010
92;02/04/2010;2;abr/10;4;APR;April;2010-S1;1;2010
93;03/04/2010;3;abr/10;4;APR;April;2010-S1;1;2010
94;04/04/2010;4;abr/10;4;APR;April;2010-S1;1;2010
95;05/04/2010;5;abr/10;4;APR;April;2010-S1;1;2010
96;06/04/2010;6;abr/10;4;APR;April;2010-S1;1;2010
97;07/04/2010;7;abr/10;4;APR;April;2010-S1;1;2010
98;08/04/2010;8;abr/10;4;APR;April;2010-S1;1;2010
99;09/04/2010;9;abr/10;4;APR;April;2010-S1;1;2010
100;10/04/2010;10;abr/10;4;APR;April;2010-S1;1;2010
101;11/04/2010;11;abr/10;4;APR;April;2010-S1;1;2010
102;12/04/2010;12;abr/10;4;APR;April;2010-S1;1;2010
103;13/04/2010;13;abr/10;4;APR;April;2010-S1;1;2010
