key;day_full;day;month_nr;Semester;year
1;01/01/2010;1;1;1;2010
2;02/01/2010;2;1;1;2010
3;03/01/2010;3;1;1;2010
4;04/01/2010;4;1;1;2010
5;05/01/2010;5;1;1;2010
6;06/01/2010;6;1;1;2010
7;07/01/2010;7;1;1;2010
8;08/01/2010;8;1;1;2010
9;09/01/2010;9;1;1;2010
10;10/01/2010;10;1;1;2010
11;11/01/2010;11;1;1;2010
12;12/01/2010;12;1;1;2010
13;13/01/2010;13;1;1;2010
14;14/01/2010;14;1;1;2010
15;15/01/2010;15;1;1;2010
16;16/01/2010;16;1;1;2010
17;17/01/2010;17;1;1;2010
18;18/01/2010;18;1;1;2010
19;19/01/2010;19;1;1;2010
20;20/01/2010;20;1;1;2010
21;21/01/2010;21;1;1;2010
22;22/01/2010;22;1;1;2010
23;23/01/2010;23;1;1;2010
24;24/01/2010;24;1;1;2010
25;25/01/2010;25;1;1;2010
26;26/01/2010;26;1;1;2010
27;27/01/2010;27;1;1;2010
28;28/01/2010;28;1;1;2010
29;29/01/2010;29;1;1;2010
30;30/01/2010;30;1;1;2010
31;31/01/2010;31;1;1;2010
32;01/02/2010;1;2;1;2010
33;02/02/2010;2;2;1;2010
34;03/02/2010;3;2;1;2010
35;04/02/2010;4;2;1;2010
36;05/02/2010;5;2;1;2010
37;06/02/2010;6;2;1;2010
38;07/02/2010;7;2;1;2010
39;08/02/2010;8;2;1;2010
40;09/02/2010;9;2;1;2010
41;10/02/2010;10;2;1;2010
42;11/02/2010;11;2;1;2010
43;12/02/2010;12;2;1;2010
44;13/02/2010;13;2;1;2010
45;14/02/2010;14;2;1;2010
46;15/02/2010;15;2;1;2010
47;16/02/2010;16;2;1;2010
48;17/02/2010;17;2;1;2010
49;18/02/2010;18;2;1;2010
50;19/02/2010;19;2;1;2010
51;20/02/2010;20;2;1;2010
52;21/02/2010;21;2;1;2010
53;22/02/2010;22;2;1;2010
54;23/02/2010;23;2;1;2010
55;24/02/2010;24;2;1;2010
56;25/02/2010;25;2;1;2010
57;26/02/2010;26;2;1;2010
58;27/02/2010;27;2;1;2010
59;28/02/2010;28;2;1;2010
60;01/03/2010;1;3;1;2010
61;02/03/2010;2;3;1;2010
62;03/03/2010;3;3;1;2010
63;04/03/2010;4;3;1;2010
64;05/03/2010;5;3;1;2010
65;06/03/2010;6;3;1;2010
66;07/03/2010;7;3;1;2010
67;08/03/2010;8;3;1;2010
68;09/03/2010;9;3;1;2010
69;10/03/2010;10;3;1;2010
70;11/03/2010;11;3;1;2010
71;12/03/2010;12;3;1;2010
72;13/03/2010;13;3;1;2010
73;14/03/2010;14;3;1;2010
74;15/03/2010;15;3;1;2010
75;16/03/2010;16;3;1;2010
76;17/03/2010;17;3;1;2010
77;18/03/2010;18;3;1;2010
78;19/03/2010;19;3;1;2010
79;20/03/2010;20;3;1;2010
80;21/03/2010;21;3;1;2010
81;22/03/2010;22;3;1;2010
82;23/03/2010;23;3;1;2010
83;24/03/2010;24;3;1;2010
84;25/03/2010;25;3;1;2010
85;26/03/2010;26;3;1;2010
86;27/03/2010;27;3;1;2010
87;28/03/2010;28;3;1;2010
88;29/03/2010;29;3;1;2010
89;30/03/2010;30;3;1;2010
90;31/03/2010;31;3;1;2010
91;01/04/2010;1;4;1;2010
92;02/04/2010;2;4;1;2010
93;03/04/2010;3;4;1;2010
94;04/04/2010;4;4;1;2010
95;05/04/2010;5;4;1;2010
96;06/04/2010;6;4;1;2010
97;07/04/2010;7;4;1;2010
98;08/04/2010;8;4;1;2010
99;09/04/2010;9;4;1;2010
100;10/04/2010;10;4;1;2010
101;11/04/2010;11;4;1;2010
102;12/04/2010;12;4;1;2010
103;13/04/2010;13;4;1;2010
104;14/04/2010;14;4;1;2010
105;15/04/2010;15;4;1;2010
106;16/04/2010;16;4;1;2010
107;17/04/2010;17;4;1;2010
108;18/04/2010;18;4;1;2010
109;19/04/2010;19;4;1;2010
110;20/04/2010;20;4;1;2010
111;21/04/2010;21;4;1;2010
112;22/04/2010;22;4;1;2010
113;23/04/2010;23;4;1;2010
114;24/04/2010;24;4;1;2010
115;25/04/2010;25;4;1;2010
116;26/04/2010;26;4;1;2010
117;27/04/2010;27;4;1;2010
118;28/04/2010;28;4;1;2010
119;29/04/2010;29;4;1;2010
120;30/04/2010;30;4;1;2010
121;01/05/2010;1;5;1;2010
122;02/05/2010;2;5;1;2010
123;03/05/2010;3;5;1;2010
124;04/05/2010;4;5;1;2010
125;05/05/2010;5;5;1;2010
126;06/05/2010;6;5;1;2010
127;07/05/2010;7;5;1;2010
128;08/05/2010;8;5;1;2010
129;09/05/2010;9;5;1;2010
130;10/05/2010;10;5;1;2010
131;11/05/2010;11;5;1;2010
132;12/05/2010;12;5;1;2010
133;13/05/2010;13;5;1;2010
134;14/05/2010;14;5;1;2010
135;15/05/2010;15;5;1;2010
136;16/05/2010;16;5;1;2010
137;17/05/2010;17;5;1;2010
138;18/05/2010;18;5;1;2010
139;19/05/2010;19;5;1;2010
140;20/05/2010;20;5;1;2010
141;21/05/2010;21;5;1;2010
142;22/05/2010;22;5;1;2010
143;23/05/2010;23;5;1;2010
144;24/05/2010;24;5;1;2010
145;25/05/2010;25;5;1;2010
146;26/05/2010;26;5;1;2010
147;27/05/2010;27;5;1;2010
148;28/05/2010;28;5;1;2010
149;29/05/2010;29;5;1;2010
150;30/05/2010;30;5;1;2010
151;31/05/2010;31;5;1;2010
152;01/06/2010;1;6;1;2010
153;02/06/2010;2;6;1;2010
154;03/06/2010;3;6;1;2010
155;04/06/2010;4;6;1;2010
156;05/06/2010;5;6;1;2010
157;06/06/2010;6;6;1;2010
158;07/06/2010;7;6;1;2010
159;08/06/2010;8;6;1;2010
160;09/06/2010;9;6;1;2010
161;10/06/2010;10;6;1;2010
162;11/06/2010;11;6;1;2010
163;12/06/2010;12;6;1;2010
164;13/06/2010;13;6;1;2010
165;14/06/2010;14;6;1;2010
166;15/06/2010;15;6;1;2010
167;16/06/2010;16;6;1;2010
168;17/06/2010;17;6;1;2010
169;18/06/2010;18;6;1;2010
170;19/06/2010;19;6;1;2010
171;20/06/2010;20;6;1;2010
172;21/06/2010;21;6;1;2010
173;22/06/2010;22;6;1;2010
174;23/06/2010;23;6;1;2010
175;24/06/2010;24;6;1;2010
176;25/06/2010;25;6;1;2010
177;26/06/2010;26;6;1;2010
178;27/06/2010;27;6;1;2010
179;28/06/2010;28;6;1;2010
180;29/06/2010;29;6;1;2010
181;30/06/2010;30;6;1;2010
182;01/07/2010;1;7;2;2010
183;02/07/2010;2;7;2;2010
184;03/07/2010;3;7;2;2010
185;04/07/2010;4;7;2;2010
186;05/07/2010;5;7;2;2010
187;06/07/2010;6;7;2;2010
188;07/07/2010;7;7;2;2010
189;08/07/2010;8;7;2;2010
190;09/07/2010;9;7;2;2010
191;10/07/2010;10;7;2;2010
192;11/07/2010;11;7;2;2010
193;12/07/2010;12;7;2;2010
194;13/07/2010;13;7;2;2010
195;14/07/2010;14;7;2;2010
196;15/07/2010;15;7;2;2010
197;16/07/2010;16;7;2;2010
198;17/07/2010;17;7;2;2010
199;18/07/2010;18;7;2;2010
200;19/07/2010;19;7;2;2010
201;20/07/2010;20;7;2;2010
202;21/07/2010;21;7;2;2010
203;22/07/2010;22;7;2;2010
204;23/07/2010;23;7;2;2010
205;24/07/2010;24;7;2;2010
206;25/07/2010;25;7;2;2010
207;26/07/2010;26;7;2;2010
208;27/07/2010;27;7;2;2010
209;28/07/2010;28;7;2;2010
210;29/07/2010;29;7;2;2010
211;30/07/2010;30;7;2;2010
212;31/07/2010;31;7;2;2010
213;01/08/2010;1;8;2;2010
214;02/08/2010;2;8;2;2010
215;03/08/2010;3;8;2;2010
216;04/08/2010;4;8;2;2010
217;05/08/2010;5;8;2;2010
218;06/08/2010;6;8;2;2010
219;07/08/2010;7;8;2;2010
220;08/08/2010;8;8;2;2010
221;09/08/2010;9;8;2;2010
222;10/08/2010;10;8;2;2010
223;11/08/2010;11;8;2;2010
224;12/08/2010;12;8;2;2010
225;13/08/2010;13;8;2;2010
226;14/08/2010;14;8;2;2010
227;15/08/2010;15;8;2;2010
228;16/08/2010;16;8;2;2010
229;17/08/2010;17;8;2;2010
230;18/08/2010;18;8;2;2010
231;19/08/2010;19;8;2;2010
